Card Name,Card Code,Copies Possessed (out of 3),Class,Traits,Card Type,Card Cost,Attack,Defense,Artist,Promo Obtain Source (if PR in code),Art URL
Harvest Festival,BP01-016EN,0,Forestcraft,Elf,Amulet,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-016EN.png
Elf Metallurgist,BP01-017EN,0,Forestcraft,Elf,Follower,2,3,2,eihi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-017EN.png
Archer,BP01-018EN,0,Forestcraft,Hunter,Follower,2,1,4,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-018EN.png
Archer,BP01-019EN,0,Forestcraft,Hunter,Follower / Evolved,-,1,4,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-019EN.png
Fairy Whisperer,BP01-020EN,0,Forestcraft,Elf,Follower,2,1,1,haru,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-020EN.png
Okami,BP01-021EN,0,Forestcraft,Beast,Follower,4,5,5,Tricky Agura,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-021EN.png
Mana Elk,BP01-022EN,0,Forestcraft,Beast,Follower,4,5,5,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-022EN.png
Fairy Circle,BP01-023EN,0,Forestcraft,Pixie,Spell,1,-,-,wakatsuki sana,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-023EN.png
Woodkin Curse,BP01-024EN,0,Forestcraft,Fae-Touched,Spell,2,-,-,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-024EN.png
Woodland Refuge,BP01-025EN,0,Forestcraft,Fae-Touched,Amulet,1,-,-,Hisanobu Kometani,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-025EN.png
Sea Queen Otohime,BP01-026EN,0,Swordcraft,Commander|Princess,Follower,4,3,4,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-026EN.png
Sea Queen Otohime,BP01-027EN,0,Swordcraft,Commander|Princess,Follower / Evolved,-,4,5,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-027EN.png
"Aurelia, Regal Saber",BP01-028EN,0,Swordcraft,Commander|Princess,Follower,5,4,6,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-028EN.png
Shadowed Assassin,BP01-029EN,0,Swordcraft,Assassin,Follower,4,4,4,HSN,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-029EN.png
Shadowed Assassin,BP01-030EN,0,Swordcraft,Assassin,Follower / Evolved,-,5,5,HSN,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-030EN.png
Frontguard General,BP01-031EN,0,Swordcraft,Commander,Follower,7,6,8,InHyuk Lee,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-031EN.png
Alwida's Command,BP01-032EN,0,Swordcraft,Thief,Spell,5,-,-,Mayoko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-032EN.png
Royal Banner,BP01-033EN,0,Swordcraft,Commander,Amulet,4,-,-,Yuu Fujiki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-033EN.png
Maid Leader,BP01-034EN,0,Swordcraft,Officer|Maid,Follower,1,1,1,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-034EN.png
Maid Leader,BP01-035EN,0,Swordcraft,Officer|Maid,Follower / Evolved,-,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-035EN.png
Gemstaff Commander,BP01-036EN,0,Swordcraft,Commander,Follower,3,3,2,JNAME,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-036EN.png
Sage Commander,BP01-037EN,0,Swordcraft,Commander,Follower,5,5,5,ZEN,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-037EN.png
Swordsman,BP01-038EN,0,Swordcraft,Officer,Follower,1,2,1,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-038EN.png
Pompous Princess,BP01-039EN,0,Swordcraft,Commander|Princess,Follower,3,3,3,yappen,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-039EN.png
Ninja Master,BP01-040EN,0,Swordcraft,Officer|Ninja,Follower,4,4,4,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-040EN.png
Arthurian Light,BP01-041EN,0,Swordcraft,Commander,Amulet,2,-,-,Ryosuke Aiba (CyDesignation),,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-041EN.png
Ninja Trainee,BP01-042EN,0,Swordcraft,Officer|Ninja,Follower,1,2,2,Tricky Agura,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-042EN.png
Fervid Soldier,BP01-043EN,0,Swordcraft,Officer,Follower,2,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-043EN.png
Fervid Soldier,BP01-044EN,0,Swordcraft,Officer,Follower / Evolved,-,4,4,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-044EN.png
Luminous Knight,BP01-045EN,0,Swordcraft,Commander,Follower,2,3,1,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-045EN.png
Veteran Lancer,BP01-046EN,0,Swordcraft,Officer,Follower,2,2,3,hippo,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-046EN.png
Navy Lieutenant,BP01-047EN,0,Swordcraft,Commander,Follower,2,2,3,Tricky Agura,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-047EN.png
Novice Trooper,BP01-048EN,0,Swordcraft,Officer,Follower,3,3,3,naturaljuice,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-048EN.png
Forge Weaponry,BP01-049EN,0,Swordcraft,Officer,Spell,2,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-049EN.png
Onslaught,BP01-050EN,0,Swordcraft,Officer,Spell,3,-,-,KUROTOBUCHI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-050EN.png
Arch Summoner Erasmus,BP01-051EN,0,Runecraft,Mage,Follower,7,6,8,Mstk,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-051EN.png
Merlin,BP01-052EN,0,Runecraft,Mage,Follower,3,3,2,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-052EN.png
Merlin,BP01-053EN,0,Runecraft,Mage,Follower / Evolved,-,4,3,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-053EN.png
Ancient Alchemist,BP01-054EN,0,Runecraft,Alchemist,Follower,3,2,5,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-054EN.png
Ancient Alchemist,BP01-055EN,0,Runecraft,Alchemist,Follower / Evolved,-,3,6,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-055EN.png
Arcane Enlightenment,BP01-056EN,0,Runecraft,Mage,Spell,4,-,-,Tsune-kun,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-056EN.png
Dimension Shift,BP01-057EN,0,Runecraft,Mage,Spell,12,-,-,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-057EN.png
Juno's Secret Laboratory,BP01-058EN,0,Runecraft,Alchemist,Amulet,5,-,-,Enarain,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-058EN.png
Spectral Wizard,BP01-059EN,0,Runecraft,Mage,Follower,2,2,2,Hachi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-059EN.png
Spectral Wizard,BP01-060EN,0,Runecraft,Mage,Follower / Evolved,-,3,3,Hachi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-060EN.png
Flame Destroyer,BP01-061EN,0,Runecraft,Arcanaform,Follower,9,7,7,ZOUNOSE,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-061EN.png
Dragonbond Mage,BP01-062EN,0,Runecraft,Mage,Follower,3,3,4,Yuu Fujiki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-062EN.png
Golem Protection,BP01-063EN,0,Runecraft,Alchemist,Spell,4,-,-,dakun,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-063EN.png
Alchemical Lore,BP01-064EN,0,Runecraft,Mage,Spell,5,-,-,Xavier Lozano Ribeiro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-064EN.png
Fate's Hand,BP01-065EN,0,Runecraft,Mage,Spell,3,-,-,Shukei,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-065EN.png
Price of Magic,BP01-066EN,0,Runecraft,Earth Sigil,Amulet,3,-,-,JNAME,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-066EN.png
Runic Guardian,BP01-067EN,0,Runecraft,Alchemist,Follower,3,3,4,TEDDY,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-067EN.png
Crafty Warlock,BP01-068EN,0,Runecraft,Alchemist,Follower,2,2,2,Tomoyo Asatani,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-068EN.png
Crafty Warlock,BP01-069EN,0,Runecraft,Alchemist,Follower / Evolved,-,3,3,Tomoyo Asatani,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-069EN.png
Lightning Shooter,BP01-070EN,0,Runecraft,Mage,Follower,4,3,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-070EN.png
Wind Blast,BP01-071EN,0,Runecraft,Mage,Spell,1,-,-,lack,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-071EN.png
Sorcery Cache,BP01-072EN,0,Runecraft,Mage,Spell,2,-,-,COGA,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-072EN.png
Fiery Embrace,BP01-073EN,0,Runecraft,Mage,Spell,4,-,-,Shukei,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-073EN.png
Alchemist's Workshop,BP01-074EN,0,Runecraft,Earth Sigil,Amulet,2,-,-,Maki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-074EN.png
Teachings of Creation,BP01-075EN,0,Runecraft,Earth Sigil,Amulet,1,-,-,YaoLiang,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-075EN.png
Dark Dragoon Forte,BP01-076EN,0,Dragoncraft,Dragonheart,Follower,4,5,1,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-076EN.png
Dark Dragoon Forte,BP01-077EN,0,Dragoncraft,Dragonheart,Follower / Evolved,-,7,3,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-077EN.png
Zirnitra,BP01-078EN,0,Dragoncraft,Dragonewt,Follower,3,3,2,Ryosuke Aiba (CyDesignation),,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-078EN.png
"Aiela, Dragon Knight",BP01-079EN,0,Dragoncraft,Dragonheart,Follower,3,3,2,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-079EN.png
Genesis Dragon,BP01-080EN,0,Dragoncraft,Wyrmkin,Follower,9,10,12,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-080EN.png
Shapeshifting Mage,BP01-081EN,0,Dragoncraft,Dragonewt,Follower,2,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-081EN.png
Shapeshifting Mage,BP01-082EN,0,Dragoncraft,Dragonewt,Follower / Evolved,-,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-082EN.png
Phoenix Roost,BP01-083EN,0,Dragoncraft,Phoenix,Amulet,5,-,-,Toshiaki Takayama,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-083EN.png
Wyvern Cavalier,BP01-084EN,0,Dragoncraft,Dragonheart,Follower,5,5,5,Toshiaki Takayama,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-084EN.png
Dragonewt Scholar,BP01-085EN,0,Dragoncraft,Dragonewt,Follower,2,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-085EN.png
Shenlong,BP01-086EN,0,Dragoncraft,Wyrmkin,Follower,5,4,5,Toshiaki Takayama,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-086EN.png
Shenlong,BP01-087EN,0,Dragoncraft,Wyrmkin,Follower / Evolved,-,5,6,Toshiaki Takayama,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-087EN.png
Imprisoned Dragon,BP01-088EN,0,Dragoncraft,Wyrmkin,Follower,3,4,4,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-088EN.png
Conflagration,BP01-089EN,0,Dragoncraft,Wyrmkin,Spell,5,-,-,Toshiaki Takayama,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-089EN.png
Serpent Wrath,BP01-090EN,0,Dragoncraft,Wyrmkin,Spell,3,-,-,Aogachou,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-090EN.png
Wyrm Spire,BP01-091EN,0,Dragoncraft,Dragonewt,Amulet,6,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-091EN.png
Ivory Dragon,BP01-092EN,0,Dragoncraft,Wyrmkin,Follower,1,1,1,Ishibashi Yosuke,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-092EN.png
Ivory Dragon,BP01-093EN,0,Dragoncraft,Wyrmkin,Follower / Evolved,-,2,2,Ishibashi Yosuke,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-093EN.png
Fire Lizard,BP01-094EN,0,Dragoncraft,Wyrmkin,Follower,2,3,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-094EN.png
Ace Dragoon,BP01-095EN,0,Dragoncraft,Dragonheart,Follower,2,0,2,Yuu Fujiki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-095EN.png
Mist Dragon,BP01-096EN,0,Dragoncraft,Wyrmkin,Follower,4,4,4,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-096EN.png
Dread Dragon,BP01-097EN,0,Dragoncraft,Wyrmkin,Follower,7,7,7,Yamamoto Shikaku,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-097EN.png
Blazing Breath,BP01-098EN,0,Dragoncraft,Wyrmkin,Spell,1,-,-,Illfill,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-098EN.png
Dragon Wings,BP01-099EN,0,Dragoncraft,Wyrmkin,Spell,3,-,-,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-099EN.png
Dragon Emissary,BP01-100EN,0,Dragoncraft,Wyrmkin,Spell,1,-,-,ZOUNOSE,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-100EN.png
Cerberus,BP01-101EN,0,Abysscraft,Demon,Follower,4,3,3,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-101EN.png
Cerberus,BP01-102EN,0,Abysscraft,Demon,Follower / Evolved,-,5,5,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-102EN.png
Lord Atomy,BP01-103EN,0,Abysscraft,Departed,Follower,9,6,6,Seungpil Jang,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-103EN.png
Medusa,BP01-104EN,0,Abysscraft,Demon,Follower,6,6,6,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-104EN.png
Righteous Devil,BP01-105EN,0,Abysscraft,Demon,Follower,4,2,4,kdash,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-105EN.png
Righteous Devil,BP01-106EN,0,Abysscraft,Demon,Follower / Evolved,-,3,5,kdash,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-106EN.png
Mordecai the Duelist,BP01-107EN,0,Abysscraft,Departed,Follower,5,5,5,HIDA KEIJI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-107EN.png
Dire Bond,BP01-108EN,0,Abysscraft,Demon,Amulet,1,-,-,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-108EN.png
Hell's Unleasher,BP01-109EN,0,Abysscraft,Demon,Follower,2,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-109EN.png
Crazed Executioner,BP01-110EN,0,Abysscraft,Cutthroat,Follower,3,3,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-110EN.png
Crazed Executioner,BP01-111EN,0,Abysscraft,Cutthroat,Follower / Evolved,-,3,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-111EN.png
Dark Summoner,BP01-112EN,0,Abysscraft,Demon,Follower,2,3,2,Shukei,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-112EN.png
Dark General,BP01-113EN,0,Abysscraft,Demon,Follower,4,5,5,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-113EN.png
Phantom Howl,BP01-114EN,0,Abysscraft,Departed,Spell,3,-,-,Mstk,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-114EN.png
Death's Breath,BP01-115EN,0,Abysscraft,Departed,Spell,6,-,-,Onineko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-115EN.png
Soul Conversion,BP01-116EN,0,Abysscraft,Departed,Spell,1,-,-,Matsukichi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-116EN.png
Skeleton Fighter,BP01-117EN,0,Abysscraft,Departed,Follower,1,2,2,GING,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-117EN.png
Ambling Wraith,BP01-118EN,0,Abysscraft,Departed,Follower,1,2,1,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-118EN.png
Spectre,BP01-119EN,0,Abysscraft,Departed,Follower,2,2,1,hippo,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-119EN.png
Spartoi Sergeant,BP01-120EN,0,Abysscraft,Departed,Follower,2,2,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-120EN.png
Rabbit Necromancer,BP01-121EN,0,Abysscraft,Necromancer,Follower,3,3,3,YaoLiang,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-121EN.png
Wardrobe Raider,BP01-122EN,0,Abysscraft,Demon,Follower,3,3,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-122EN.png
Wardrobe Raider,BP01-123EN,0,Abysscraft,Demon,Follower / Evolved,-,3,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-123EN.png
Undead King,BP01-124EN,0,Abysscraft,Departed,Follower,6,6,6,Scott Murphy,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-124EN.png
Razory Claw,BP01-125EN,0,Abysscraft,Demon,Spell,2,-,-,Kohei Hayama,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-125EN.png
Moon Al-mi'raj,BP01-126EN,0,Havencraft,Beast,Follower,5,4,5,Mushimaro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-126EN.png
Jeanne d'Arc,BP01-127EN,0,Havencraft,Luminary,Follower,4,3,4,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-127EN.png
Jeanne d'Arc,BP01-128EN,0,Havencraft,Luminary,Follower / Evolved,-,4,5,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-128EN.png
Arch Priestess Laelia,BP01-129EN,0,Havencraft,Faith,Follower,4,0,6,Mayoko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-129EN.png
Arch Priestess Laelia,BP01-130EN,0,Havencraft,Faith,Follower / Evolved,-,0,6,Mayoko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-130EN.png
Themis's Decree,BP01-131EN,0,Havencraft,Faith,Spell,5,-,-,sime,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-131EN.png
Chorus of Prayer,BP01-132EN,0,Havencraft,Faith,Spell,7,-,-,Maji,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-132EN.png
Sacred Plea,BP01-133EN,0,Havencraft,Faith,Amulet,1,-,-,Ayaka Suda,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-133EN.png
Temple Defender,BP01-134EN,0,Havencraft,Faith,Follower,3,3,3,Bigegg Chen,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-134EN.png
Prism Priestess,BP01-135EN,0,Havencraft,Faith,Follower,1,1,1,Tsune-kun,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-135EN.png
Prism Priestess,BP01-136EN,0,Havencraft,Faith,Follower / Evolved,-,2,2,Tsune-kun,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-136EN.png
Cleric Lancer,BP01-137EN,0,Havencraft,Faith,Follower,4,1,5,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-137EN.png
Shrine Knight Maiden,BP01-138EN,0,Havencraft,Faith,Follower,5,5,5,CACAO,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-138EN.png
Blackened Scripture,BP01-139EN,0,Havencraft,Zealot,Spell,2,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-139EN.png
Dark Offering,BP01-140EN,0,Havencraft,Zealot,Spell,1,-,-,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-140EN.png
Holy Sentinel,BP01-141EN,0,Havencraft,Faith|Beast,Amulet,5,-,-,Fuzichoco,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-141EN.png
Cruel Priestess,BP01-142EN,0,Havencraft,Zealot,Follower,4,3,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-142EN.png
